generation,Alakazam Dudunsparce,Ceruledge,Charizard Noctowl,Charizard Pidgeot,Crustle,Cynthia's Garchomp,Dragapult Charizard,Dragapult Dusknoir,Dragonite Eelektrik,Festival Lead,Flareon Noctowl,Froslass Munkidori,Gardevoir,Gardevoir Jellicent,Gholdengo Lunatone,Greninja,Grimmsnarl Froslass,Iron Hands Magneton,Joltik Box,Kangaskhan Bouffalant,Lucario Hariyama,Mega Absol Box,Mega Venusaur,N's Zoroark,Ogerpon Meganium,Raging Bolt Ogerpon,Rocket's Honchkrow,Rocket's Mewtwo,Tera Box
10,0.03552677035737553,0.014630736399181861,0.06702990171956996,0.03321743418057434,0.0372973223191522,0.006699565084651402,0.03613983214247147,0.05180331021680318,0.0021464594730323575,0.056748724665962307,0.006766582428005583,0.04881112515695144,0.08263352219546392,0.05304011676546813,0.06004948331802575,0.04210715761779231,0.041033230490516714,0.015129441554109013,0.04605516076113594,0.0759188842386661,0.010656005598618234,0.030079561749932256,0.020149814536877687,0.026487622062793956,0.008902929357544649,0.024505552947487186,0.036574237094571804,0.010321211296194914,0.019538304271069895
11,0.03476502527615176,0.012826306101262437,0.07011507375914353,0.03161728883947911,0.035702859573248286,0.005767828479494229,0.03538936861754215,0.05361052945138356,0.0014647982955997665,0.056165824323452324,0.005445203478327394,0.04947867458764649,0.0879383232859093,0.05424253137947346,0.06229511808547195,0.042431509971928294,0.042184564316980006,0.013209092654562604,0.04550998251335071,0.0838830206510154,0.009359110237216297,0.029760769851146687,0.01858780196098507,0.025483727313302926,0.007638260753999097,0.023413670401235355,0.03546461112765059,0.008378890542186308,0.01787023417085484
12,0.03396331887985344,0.011199792576377798,0.07301191879959174,0.029847970940640265,0.03399380050884339,0.00500330932797861,0.034500619286443,0.055279906726790375,0.000989256393736899,0.05478630420727136,0.00437636104655568,0.04990578290478932,0.09306278575100203,0.05516132153632677,0.06443671600556912,0.04276407371327072,0.0434113339194134,0.011467168694394002,0.044666058561814846,0.0926584717460467,0.008251266037310415,0.02946099497366902,0.01714267751717901,0.024500406048560262,0.006570710553245009,0.02239811445492268,0.0341834894255459,0.006705530072123532,0.01630053939073482
13,0.033153703072779345,0.00974869411865423,0.07571434043829067,0.027955436128206883,0.032242349873584625,0.0043756227471333144,0.03348811096149292,0.05676414082227735,0.0006616237910441167,0.05265425775505428,0.003517718112030547,0.05008034930153952,0.0979702172651327,0.055775494203522305,0.0664813182407316,0.043130517208507524,0.04470167516498134,0.009900450229578308,0.04354618716545727,0.10224588227280575,0.007309301712388182,0.029171756163006945,0.01582028752647889,0.02354429583122922,0.005670691785700954,0.021465576223560153,0.032779241092624166,0.005291416973886337,0.014839343818320637
14,0.032364281987603744,0.008464701068106557,0.07822107092370806,0.025983646359812713,0.03050818225862602,0.003860423457260749,0.032366200166809175,0.058015370394500665,0.00043845219138243804,0.04984985854252031,0.002831311313899745,0.04999403271790959,0.10262985430116577,0.05607056748470811,0.06843343913531065,0.04355531243065321,0.04604059929148176,0.008501013508212998,0.04217136657197353,0.11262183436698361,0.006511961449227688,0.028883603683213112,0.014621972371174624,0.022620156519258815,0.004912192514340078,0.02062002543542916,0.031298646706491955,0.004118285511442651,0.01349163733679258
15,0.0316191127655837,0.007335742056077811,0.0805350255534953,0.023973343758552892,0.028837633830499615,0.00343803414265579,0.031149259149880187,0.0589883816102869,0.0002880277366412916,0.04648397581120364,0.0022843131581980593,0.04964352741444289,0.10701759476256453,0.05603963335346729,0.0702944939877322,0.044062262358746516,0.0474103071663359,0.007258335048721691,0.040561822654721,0.12373546041857965,0.0058400780584181725,0.028586503129919404,0.013545664562450961,0.0217310575620067,0.004272726334833564,0.019863317006664317,0.029783960348211683,0.0031621999773381597,0.012258206281770292
16,0.03093829446019338,0.006347713189964698,0.08266263362982966,0.02196125181786581,0.027264237885185394,0.003092440958232522,0.02985183935235457,0.059643954505252755,0.00018763152044300565,0.042690096834764484,0.001849097208962309,0.04903155280167934,0.11111650536659011,0.05568409866837851,0.07206258212430797,0.044674901787742895,0.04879064637458437,0.006160759393738395,0.0387384451609213,0.13550653203867816,0.005276608458635738,0.02827026393132028,0.012586803811447288,0.020878604000729547,0.003733092489469725,0.019195691804312437,0.028270942343733247,0.0023961899982969494,0.011136588082385115
17,0.0303381865428957,0.005485819760136198,0.08461320869188223,0.019979600991162447,0.02581015800128693,0.002810547460659353,0.02848875570011965,0.05995198702444082,0.00012124748389350476,0.03861447192483242,0.0015028873592792826,0.04816741892896912,0.11491709594681115,0.05501400576861358,0.07373259222953667,0.04541674782150068,0.050159717146020015,0.005196439672580818,0.03672430093940203,0.1478254367188313,0.004806576963289524,0.027924995920393495,0.011739088081217975,0.020063184236473446,0.0032770370682728145,0.01861617523691882,0.026787887418620652,0.0017924634137881778,0.010121965548171406
18,0.029831709010923708,0.0047355334521164884,0.08639840380453923,0.018055889216205503,0.024488102988352724,0.002581607669195133,0.02707506362699405,0.05989402332251038,7.774243892822397e-05,0.034405591708620495,0.001227197876986806,0.0470670779389198,0.11841736268423629,0.05404786035465565,0.07529658514834446,0.04631140814361316,0.05149461663335547,0.004353870665175705,0.034545917949533475,0.16055525590649236,0.004416958708406099,0.027541573435697953,0.010995079969477992,0.019284226095320427,0.002890879247441027,0.018122884601523875,0.025355519221839495,0.0013241079897239186,0.00920795019086994
19,0.029428684860707866,0.004083211469004405,0.08803177818229849,0.01621281107767293,0.02330338887491448,0.0023967831084573993,0.02562592568054283,0.05946486554672348,4.947428315646008e-05,0.03020414482299898,0.0010072021492064998,0.04575263661845093,0.12162260748968283,0.05281193854669809,0.07674439900004192,0.04738257094487836,0.05277229120240059,0.003622129226414743,0.03223408177336825,0.17353589105528636,0.004096526061371832,0.02711208107029134,0.01034668611063994,0.018540449655709345,0.0025631433311976595,0.017713259100161707,0.02398753518027171,0.000966272091721516,0.008387231485728881
20,0.029136192462371795,0.003516443240506697,0.08952848277355424,0.014468313775248178,0.022255912405207,0.0022487869906939236,0.024156383977059857,0.05867306385856245,3.1257467495023686e-05,0.02613448635655302,0.0008311135243552675,0.04425137736890514,0.1245450471261794,0.051339102809347,0.07806441214597444,0.04865390273072183,0.05397044797564429,0.0029909247175099953,0.029823961962805783,0.1865898981941044,0.003835674187410344,0.026630211216041855,0.009785525524169537,0.017830106538685442,0.002284219676892694,0.017384226685539024,0.02269156243514008,0.0006968730385120941,0.007652088834809086
21,0.02895890054304111,0.0030241933691518464,0.09090505718150675,0.012835757947867274,0.021341894292996356,0.0021315915982775195,0.02268106786065856,0.057540237871202785,1.961104003131995e-05,0.022298391878684046,0.0006896226932420826,0.042594401139847256,0.12720323603374495,0.049667217710825204,0.07924439234635712,0.05014887290814067,0.0550684642881652,0.002450545900828171,0.027354489017332735,0.1995294496875496,0.003626237247986745,0.02609158309562728,0.009303201613750027,0.0171511965842795,0.002046065186604396,0.017132320534188592,0.02147030870736279,0.0004969160094341087,0.006994775711316068
22,0.028899362739580617,0.002596803193139689,0.092179319822406,0.011324173510378316,0.02055532595707866,0.002040183433817427,0.02121387277227643,0.056099350495060436,1.2222034118296896e-05,0.018771519257249604,0.0005754104963453631,0.04081505231938827,0.12962134019628738,0.047837307976465696,0.08027235728128626,0.051890511136551395,0.05604822999475674,0.001991771960068697,0.024867024402053423,0.21216370141358143,0.0034613032665888506,0.025493957194970468,0.008891491823856092,0.016501654452062715,0.0018419460728352499,0.01695375580770824,0.020322739882884133,0.00035051870516820467,0.006407792402035906
