generation,Alakazam Dudunsparce,Ceruledge,Charizard Noctowl,Charizard Pidgeot,Crustle,Cynthia's Garchomp,Dragapult Charizard,Dragapult Dusknoir,Dragonite Eelektrik,Festival Lead,Flareon Noctowl,Froslass Munkidori,Gardevoir,Gardevoir Jellicent,Gholdengo Lunatone,Greninja,Grimmsnarl Froslass,Iron Hands Magneton,Joltik Box,Kangaskhan Bouffalant,Lucario Hariyama,Mega Absol Box,Mega Venusaur,N's Zoroark,Ogerpon Meganium,Raging Bolt Ogerpon,Rocket's Honchkrow,Rocket's Mewtwo,Tera Box
22,0.05826029001729456,9.484396070435527e-05,0.07128332194957998,0.002119713504377072,0.009173840667643028,0.00020426656447625847,0.0026250102017739336,0.027574704973443987,9.138641409725134e-05,0.00033646208172257564,0.0010443411449371734,0.005180300379082052,0.11381088758213076,0.00568212691005518,0.030623423446446783,0.0425551624143552,0.2132849463269067,2.3734530144880476e-05,0.00016398787982877636,0.21283485605133748,0.00012013544245390922,0.006267200930439494,5.620671417608572e-05,0.002742434228795398,0.049678608600817804,0.14306433158039594,0.00032397236681096583,0.0001014659507461138,0.0006780371850262914
23,0.07086423456464344,9.188078698402006e-05,0.050263252742125245,0.0020534881031584427,0.01619358132229399,0.00019788474204598312,0.0013956268975745896,0.04438271512078067,8.853126318793032e-05,0.0003259501251251765,0.0010117131925323924,0.001511529366368028,0.08408509896843774,0.0020250300490433403,0.026686071327057817,0.057534998239389214,0.22086565823160653,2.2993001264522526e-05,8.718666914536426e-05,0.2019632614721946,0.00011638209660756773,0.011062806910107718,5.445066922481955e-05,0.0021751657129851776,0.0481265187642532,0.15574498962388436,0.00031385062161686227,9.829588871446875e-05,0.0006568535276467477
24,0.07339162582146141,8.933363159940061e-05,0.02839755906271334,0.001996560496735985,0.034053390710852637,0.00019239890324571123,0.00022430014091261397,0.039903949840829483,8.607696462194701e-05,0.0003169140073079186,0.0005398473911295566,0.0014696261536188346,0.08075909267301966,0.0019688913680116463,0.025946269541436674,0.07659756053718167,0.20041980150036307,2.2355580222518647e-05,8.47696459452988e-05,0.17686464782781713,0.00011315570626223009,0.008806365750787274,5.294116631496471e-05,0.002114864911913095,0.08526119595181825,0.15928713991621773,0.0003051499310039642,9.557089135165168e-05,0.0006386439753042903
25,0.09836449229965678,8.529515426110853e-05,0.0221989015301818,0.0019063026153956775,0.04925711565195906,0.00018370118664381204,0.00021416027511029964,0.02822519239691228,8.218571040166035e-05,0.00030258737562636334,0.0005154426802028888,0.0014031892271120785,0.08693929987664886,0.0034253725552095956,0.06734087838671657,0.06743901867056185,0.2181511717859695,2.1344958550740356e-05,8.093749126854402e-05,0.13886082584713827,0.00010804031190002983,0.0046145504601675024,5.054787168898903e-05,0.0036793295683746553,0.0793106243141902,0.12624711323743684,0.0002913551142134961,9.125044817684841e-05,0.0006097729983236518
26,0.10340886019885231,8.3076740667429e-05,0.01534566135914708,0.0018567222181000147,0.054660194689824755,0.0001789233629426184,0.00020859025100228927,0.02105620691915531,8.004816930989888e-05,0.00029471748016535697,0.0005020367011829754,0.001366694140340784,0.16294337526152128,0.0033362831678262076,0.06433216511822225,0.05783523300109821,0.21649888413492377,2.0789804549136315e-05,7.883241469738497e-05,0.10993030495440131,0.00010523032698751426,0.008189571504060425,4.9233188731230996e-05,0.006529808883293534,0.05973250598247961,0.11040948191316403,0.0002837773549426628,8.887714530380149e-05,0.0005939136131070087
27,0.09992570937629099,8.027844256187962e-05,0.012140769184612672,0.0017941817016606436,0.06714618437930626,0.0001728966350818665,0.00020156424469142036,0.031233872639475916,7.735188345740868e-05,0.0002847904252545191,0.000883958029549019,0.00021830352767659357,0.2125418916470624,0.005874340039483197,0.07302279901945612,0.054312971572651705,0.17981344213485276,2.0089535494076978e-05,7.617707946238022e-05,0.06789510106683506,0.00010168582316743419,0.014419737585961056,4.757485286429715e-05,0.011497320773972869,0.058664157403995415,0.10669052710595617,0.0002742187994630639,1.4196442186257661e-05,0.0005739086475165746
28,0.07817132265592959,7.670577373080354e-05,0.021137421529339732,0.00028337757031322836,0.06300197905717644,0.00016520213579360757,0.0001925939374521718,0.0412254568061858,7.390945664599791e-05,0.00027211626463024625,0.0008446188346248659,0.0002085882643486716,0.27807773003842684,0.0030804311738423583,0.08405358086681039,0.0642977512940715,0.17085039027670726,1.9195481561289707e-05,7.278693549903825e-05,0.061793061997947804,9.7160451730232e-05,0.011280479933359832,4.545760708140481e-05,0.004466432049729657,0.029630516485818065,0.08575778563279962,0.00026201511281354235,1.3564651323200978e-05,0.0005483677243068719
29,0.04571537784017002,0.00013397142135971498,0.03366257987475473,0.00027162697254697266,0.07168232703526557,0.00015835182704937166,0.00018460779412855446,0.028314446099370894,7.084471057167145e-05,0.00026083263068634707,0.0008095956809556808,0.00019993889668554484,0.3130411070095067,0.0016204746499423233,0.07939773473336367,0.06454276491993068,0.1933293538483756,1.8399517425853812e-05,6.976873613787424e-05,0.08489715766905569,9.313157468887792e-05,0.0059341471175905405,4.357265177022875e-05,0.0008996400070488164,0.008219047398060642,0.06563941788611471,0.0002511503354920737,1.3002176454910378e-05,0.0005256289854955939
30,0.0396296353055257,0.0001309438979749143,0.02013823421661002,0.0002654886707884168,0.04918263167713757,0.00015477334848616636,0.00018043597592980594,0.023819738965763903,6.92437421280414e-05,4.2141011350248996e-05,0.0007913002129263778,0.00019542062197364609,0.34603983734347354,0.0052585828383916846,0.06679393653629373,0.039559419289624684,0.2192388012250618,1.7983720021374158e-05,6.819208286330565e-05,0.08550570357104591,9.102696150069038e-05,0.005800045613068061,4.258798488505819e-05,0.005319513650652709,0.011514381070811203,0.07937806666987655,0.00024547477046420706,1.2708349660575995e-05,0.0005137506757100751
31,0.02807470722642422,0.00012946287657916643,0.03175061437781948,0.00026248590084001014,0.04463201656678099,0.0001530228076503997,0.0003250572146207724,0.020110560384749097,6.846057112733602e-05,4.166438173700708e-05,0.0007823503300839691,0.00019321034622357816,0.3554828401874194,0.009473389558217438,0.060961194558967334,0.04544164741003109,0.22058045010196756,1.7780317842741163e-05,6.742080649760197e-05,0.08160692841939295,8.99974146515637e-05,0.010448840160294756,4.2106299844426204e-05,0.009583157025686646,0.00624775364891418,0.07266967815167662,0.00024269836474545084,1.2564613770297521e-05,0.0005079399754439787
32,0.03324712762752087,0.00012552356082693705,0.05148533932511906,0.0002544989406299543,0.026888231406254456,0.00027034158359191856,0.00017296694653409314,0.02908854265042903,6.637744264004631e-05,4.039661170423537e-05,0.0007585448573454035,0.00018733131294018893,0.4033463143825783,0.007905716243743793,0.04906421323352831,0.05060193773729374,0.19630066709563812,1.723929567477841e-05,6.53693161238221e-05,0.06478107248369529,8.725895987159417e-05,0.006599664788744148,4.082508306145281e-05,0.010476203847815986,0.001824527933306888,0.06556378723294493,0.00023531350264023238,1.2182295825154811e-05,0.0004924843019773854
33,0.02269201116400311,0.00012465351790583347,0.062448464528761696,0.0002527349291546207,0.014654291854403912,0.00026846776182065467,0.00017176805872031947,0.012314252723733397,6.591735989773505e-05,4.011661019839617e-05,0.000753287146529003,0.0011254332272134617,0.4281641952208972,0.007850919260541522,0.04746950538764565,0.062174046373159104,0.19844536779233896,1.7119804743611054e-05,6.491622102059022e-05,0.07366603923002113,8.665414082536096e-05,0.008475725637261143,4.05421116870982e-05,0.012706973537750896,0.0018118815615638328,0.042977789520555934,0.00023368247141499092,1.2097856536023433e-05,0.0008911449896947898
